"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6686.22765918254","6892.12683696716","6898.85590863996","7271.66481369523","7696.57970054932","8073.13231523597","8268.66737783159","8559.11882464492","8547.34272483546","8588.20868145488","9012.95542519292","9216.32137733195","9515.10002302958","9690.07249929286","10401.8433355874","10950.5697715337","11603.6023664284","12501.1284070073","13259.7294038113","13212.3784657313","14243.492142124","14973.0984736747","15398.4287039609","15971.0089748595","16195.8711227125","15656.2666699696","15181.4713659756","15483.5408303931",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9329.38396327777","9232.01057965682","8751.04112022875","9035.57352545015","9544.92583201813","9903.47176107137","10448.8701353755","11085.3964042851","11576.7280036228","11758.2512072417","12260.2352012989","12200.7934801985","12450.7199029467","12941.1900144154","13442.0678453314","14381.2256279966","15609.2940250918","16247.5239359455","16512.9010930927","15906.753310353","16085.8495835757","16472.0832008577","16767.0360265371","16982.0993649935","17233.4355534","17525.6492569711","18054.740747176","18639.4517435856",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54726.5642826069","56686.6568810333","59033.1709230392","58946.1281739914","60426.8458368863","62787.2531248313","64153.1820484727","62779.1078038378","61685.8075984263","63143.4760880756","65034.8346589503","66960.5208174901","69246.7481773335","71337.235205243","72411.5752831565","73873.2902403918","78398.1896570985","79616.870305081","78682.9808251747","76964.3177723928","78923.3904740313","82434.8830910215","83504.3025184817","81827.2734606771","80155.5429896511","79439.062446088","77420.6123414915","78836.1246818218",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1502.88065800944","1546.55879821722","1672.51816898437","1774.39301361051","1926.23762468771","2112.16835899211","2251.1591428914","2369.51071187459","2474.17370780244","2637.73005973375","2804.93275688453","3019.00092965503","3300.16293059307","3524.92675279858","3734.48887014555","4026.34187596839","4331.46190597585","5131.41037736024","5372.13242864557","5664.1278051614","6289.81436412947","6805.87845575689","7162.29347421935","7317.33741383861","7760.09018263967","8245.60530630055","8900.76455308796","9560.77445259184",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5242.04564928739","5661.04598838628","5798.94175029585","5893.3620794374","6082.78163724582","6491.72810262165","6843.108551891","7364.7414335334","7354.74812157279","8043.51279918659","8251.81945049328","8332.79662706803","8848.10437799182","9314.39571832187","9695.19342940274","10313.6111912576","11346.0494933988","12413.2856854456","13226.6064899232","12098.7929929481","13064.4662387584","13889.2704704923","14506.885230642","16111.1091493253","16765.1596098485","16352.8793260993","16960.9638749829","17354.1997098229",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","597.892869785207","599.127031823868","558.381619885678","558.18306453217","582.174411488648","620.937247457949","592.308748493894","619.678367898812","641.246530082119","659.981626863929","644.43989516488","674.680269804975","696.114184240571","659.181097713977","704.920767682578","721.248996621022","765.187163842712","807.516137154305","826.813417054097","836.011042410341","863.320204720472","904.610485797435","956.117396809463","613.734675996452","629.046425106389","661.88762493035","693.30690972402","725.94541950627",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20107.8306877283","20060.6728229815","20446.6282009294","21255.0535745257","22465.8030545629","23354.2721887713","23904.848934067","25087.9972576757","26117.6117299565","27656.6769217414","29185.3550587258","30073.912805211","30851.3114815056","32189.0615956597","33754.8695616172","36134.6022423077","38009.875996482","39441.9677890234","40277.6193121099","38791.0746857483","40027.2402088674","41565.2712210369","42145.0978611317","44101.4714464506","45519.7939192537","44647.3642265863","44819.4836002717","46704.8947215251",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6885.87237782112","6457.50438539338","6505.13184531438","6763.96022025286","7197.69989197043","7781.62028832812","8288.8826584246","8682.47484042018","9069.92947903899","9378.99967311142","10010.4681681246","10790.7732357562","11598.1788132363","12338.5630621356","13463.2877457204","14289.6433723886","15884.4588969515","17710.0324459205","19612.4476639528","19610.8468910826","20727.8578656753","22150.803143728","22956.181474473","23973.6310744898","24956.1752655506","25841.6093223773","26867.054179839","28680.9391884608",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27609.0459169673","27915.6696897214","28226.599359895","28600.1198871706","29344.7901268333","29900.4079150453","30535.4541353554","31797.8746298351","32891.7225064298","33814.0792910998","35748.876969071","36808.6393845166","37718.3041278531","37710.7989048388","39184.0188439473","40572.2631753381","45112.2786663039","49737.7609931816","52584.7349460344","51759.7527446929","53119.3865285819","56183.8325850081","57849.5839884654","60108.5163468318","61902.1624060426","63648.2880177144","63881.6746185979","64712.127502521",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4507.11474393179","4947.36936005209","5621.10987003791","6123.75112278534","6578.46088189135","7366.06387169761","8028.91140535206","8655.29667368909","9009.31721071349","8995.18118959855","9571.97894148125","9994.17091790155","10343.2273836998","10858.8014337216","11831.3100517949","12774.7312248309","15773.823019032","16971.7667088299","16551.3071523277","16226.2069326139","18265.3425272305","20437.704525923","21620.2809667472","22578.7289196522","22978.1913015912","22785.8180304618","23476.4267994692","24634.9702104917",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","986.568376177788","1099.05222797972","1268.27161988176","1461.61034638759","1668.58064180613","1869.46632027211","2070.77160880877","2277.20685142254","2458.63066104439","2664.48503120314","2933.31481687007","3226.84845645728","3551.66365190754","3961.27389293916","4455.20502164089","5092.55983719014","5883.71937721515","6863.98175467412","7635.07261093725","8374.43227112406","9333.12423690653","10384.3665989406","11351.0620576921","12367.9650091944","13440.4774628301","14450.094990196","15530.6342741802","16806.7418595372",
"Cote d'Ivoire","CIV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2064.23166352787","2059.56522095372","2029.04305290696","2003.35458369663","1995.08861010995","2113.22615745278","2247.87378229769","2302.72014216838","2375.0465599391","2387.90845185766","2336.35692095684","2342.85499642351","2295.19139940123","2268.27229211947","2317.61436177941","2388.43219498255","2450.59677799087","2508.37389933617","2567.19074324489","2612.06386869209","2635.83777138699","2511.42019511915","2762.34142570319","2980.26505984223","3217.771021641","3451.87741812407","3693.6523955676","3953.38132490405",
"Cameroon","CMR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1952.24372225482","1884.80870372918","1815.59526645982","1664.4134323673","1689.48875318106","1737.99287276804","1799.90292328657","1878.4776881096","1935.42272118738","1998.69349162714","2063.82352270855","2147.15482757839","2214.14894780669","2300.10437609214","2457.35151576487","2519.09001086173","2614.41042613163","2739.67288522194","2812.64505460119","2817.98765363956","2870.56268713564","2969.0475747898","3076.85813905275","3208.26832603863","3367.17697419567","3502.40788727502","3609.37559694929","3694.19995303906",
"Congo, Dem. Rep.","COD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","896.354534625778","817.487229128434","719.649012671905","613.115648442003","580.226086544982","577.516201681223","566.054963507201","530.266385648271","515.433430909588","489.425306062329","454.311540544814","442.517363897191","449.176522500066","469.058236547122","498.483440962345","528.961698431253","556.029511433653","587.094398105453","615.277912065108","616.850051937035","646.855793437798","682.43215537283","719.81754613007","767.477239667371","827.316766402232","865.099462663762","868.221543211932","887.212862592924",
"Congo, Rep.","COG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3322.42079928925","3420.88312333044","3493.75713578085","3446.26133822864","3235.86909746333","3340.81751912021","3449.22493429948","3388.3693552381","3452.939884821","3319.54770079494","3551.09264907498","3667.70832941913","3790.19484193496","3791.12980302899","3915.74080755105","4223.07435545744","4474.88010752481","4369.05228717674","4543.92488890468","4760.4444983099","5081.43214469695","5213.94692099844","5368.26568966105","5502.48287322744","5834.00976153059","5902.42965114336","5662.79809114461","5359.07433568628",
"Colombia","COL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4869.16184672328","5050.71983033459","5327.88550322505","5485.49956628294","5827.99696183084","6155.68886127621","6294.86549854465","6520.03666603708","6528.90017378781","6256.81018104118","6585.33413813744","6750.68713876565","6927.32125259077","7241.33125833067","7732.31947622413","8248.35534178596","8957.34111756549","9710.91759594356","10132.2656612857","10260.2266790265","10680.0030066548","11496.4777054381","12058.3437579632","12725.0437311283","13395.516199343","13827.6727863559","14165.4512227635","14552.0085613812",
"Comoros","COM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1034.10155080008","981.587492990289","1058.21410686735","1084.09918949408","1019.24904669749","1048.32497429261","1025.13900397469","1055.91086802402","1052.88627667455","1061.83032068337","1173.81752641852","1198.67108591666","1215.64491347725","1236.16601038234","1264.15613509177","1310.26538212601","1353.51944109414","1367.48883961449","1366.64754971748","1370.46688388663","1383.9296940583","1414.61172325694","1448.4276861253","1487.11050669385","1508.62041667457","1504.71658081263","1521.85721808214","1552.24584978526",
"Cabo Verde","CPV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1070.91406516043","1096.28098925145","1212.19496376985","1312.82756016449","1555.2170020896","1766.82171286977","1954.75257510339","2158.37694751752","2401.0899919634","2654.42037886116","3039.91935103396","3116.71101640519","3268.9136058476","3412.64207822292","3801.92990757416","4134.49758438051","4542.1405529358","5308.1341722015","5710.16341956672","5620.53931728869","5710.34425217671","5991.77849034175","6097.22155382914","6171.85798773012","6245.0054820895","6298.8037717756","6541.09976404895","6831.46046091006",
"Costa Rica","CRI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5033.09994187275","5200.58231878786","5662.42351116882","6052.79671201924","6299.32169595099","6533.19142922661","6574.13364760459","6893.93397015235","7286.41497983041","7527.11162305639","7829.81296167726","8139.81010264789","8397.30253575193","8793.38314665954","9289.50331735902","9817.00119402593","10697.4635440799","11714.2147368533","12329.930057934","12141.9349812074","12737.0201761635","13397.2305422386","14133.6881806511","14524.6715007822","15140.4703680613","15694.6192037295","16387.0490387679","17044.188557284",
